company_name,sector,state,city,phone,email,website,priority_score,pipeline_stage,last_contacted,outreach_channel
WRP Asia Pacific Sdn Bhd,Manufacturing,Selangor,,,,,100,not_contacted,,
Palm oil sector - multiple companies,Plantation,Various,,,,,100,not_contacted,,
Boustead Plantations Bhd,Plantation,Kuala Lumpur,KL,,,https://www.bousteadplantations.com,95,not_contacted,,
Kulim (M) Bhd,Plantation,Johor,Johor Bahru,62316894531,info@kulim.com.my,https://www.kulim.com.my,95,not_contacted,,
IJM Plantations Bhd,Plantation,Selangor,Petaling Jaya,,,https://www.ijmplantations.com.my,95,not_contacted,,
TH Plantations Bhd,Plantation,Kuala Lumpur,KL,,,https://www.thplantations.com.my,95,not_contacted,,
VS Industry Bhd,Manufacturing,Johor,,,,,85,not_contacted,,
Inari Amertron Bhd,E&E,Penang,,,,,85,not_contacted,,
Unisem (M) Bhd,E&E,Perak,,,,,85,not_contacted,,
FGV Holdings Bhd,Plantation,KL,,+603-2789 0000,hr@fgv.com.my,,85,not_contacted,,
Genting Malaysia Bhd,Hospitality,KL,,+603-2718 1118,career@gentingmalaysia.com,,85,not_contacted,,
AEON (M) Bhd,Retail,KL,,,,,85,not_contacted,,
Genting Plantations Bhd,Plantation,KL,,+603-2333 1888,hr@gentingplantations.com,,85,not_contacted,,
PIE Industrial Bhd,E&E,Penang,,,,,85,not_contacted,,
SKP Resources Bhd,Manufacturing,Johor,,,,,85,not_contacted,,
AIC Semiconductor Sdn Bhd,E&E,Penang,Bayan Lepas,260617113147,,https://www.aicsemi.com,85,not_contacted,,
Acutronic Malaysia Sdn Bhd,E&E,Penang,Bayan Lepas,011-2020,aus@acutronic.com,https://www.acutronic.com,85,not_contacted,,
Align Technology Malaysia Sdn Bhd,E&E,Penang,Bayan Lepas,087-9574-76935,,https://www.aligntech.com,85,not_contacted,,
BE Semiconductor Malaysia Sdn Bhd,E&E,Penang,Batu Kawan,012866412-,info@proudnerds.com,https://www.besi.com,85,not_contacted,,
Bose Systems Malaysia Sdn Bhd,E&E,Penang,Bayan Lepas,897226,,https://www.bose.com,85,not_contacted,,
Bruker Malaysia Sdn Bhd,E&E,Penang,Bayan Lepas,520904242,,https://www.bruker.com,85,not_contacted,,
Clover Electronics Sdn Bhd,E&E,Penang,Bayan Lepas,,,https://www.clover.com.my,85,not_contacted,,
Dell Global Business Center Sdn Bhd,E&E,Penang,Bayan Lepas,013 6 6 1,,https://www.dell.com,85,not_contacted,,
Dyson Manufacturing Sdn Bhd,E&E,Johor,Senai,5478349583,,https://www.dyson.com,85,not_contacted,,
Flextronics Technology (M) Sdn Bhd,E&E,Johor,Johor Bahru,2026-07-09,,https://www.flextronics.com,85,not_contacted,,
Hewlett Packard (M) Sdn Bhd,E&E,Penang,Bayan Lepas,07-2026 08,,https://www.hp.com,85,not_contacted,,
Hitachi Global Storage Technologies,E&E,Selangor,Petaling Jaya,2025-03-04,,https://www.hitachi.com,85,not_contacted,,
Hong Leong Group,Manufacturing,Kuala Lumpur,KL,2024-08-26,,https://www.hongleong.com,85,not_contacted,,
Intel Malaysia Sdn Bhd,E&E,Penang,Bayan Lepas,,,https://www.intel.com,85,not_contacted,,
Jabil Circuit Sdn Bhd,E&E,Penang,Bayan Lepas,04277 196,,https://www.jabil.com,85,not_contacted,,
Keysight Technologies Malaysia,E&E,Penang,Bayan Lepas,71960064,usa_orders@keysight.com,https://www.keysight.com,85,not_contacted,,
Lam Research Malaysia Sdn Bhd,E&E,Penang,Bayan Lepas,2025-11-04,,https://www.lamresearch.com,85,not_contacted,,
Lattice Semiconductor Sdn Bhd,E&E,Penang,Bayan Lepas,8767481924,,https://www.latticesemi.com,85,not_contacted,,
Mitsumi Electric Sdn Bhd,E&E,Selangor,Shah Alam,,,https://www.mitsumi.com,85,not_contacted,,
NXP Semiconductor Sdn Bhd,E&E,Selangor,Petaling Jaya,,,https://www.nxp.com,85,not_contacted,,
Olympus Electronic Components Sdn Bhd,E&E,Sarawak,Kuching,241028,,https://www.olympus.com,85,not_contacted,,
ON Semiconductor Malaysia Sdn Bhd,E&E,Selangor,Petaling Jaya,,contactsupport@onsemi.com,https://www.onsemi.com,85,not_contacted,,
Osram Opto Semiconductors (M) Sdn Bhd,E&E,Penang,Bayan Lepas,78603491,,https://www.osram.com,85,not_contacted,,
Plexus Manufacturing Sdn Bhd,E&E,Penang,Bayan Lepas,2025-12-17,roger.davidson@americaneagle.com,https://www.plexus.com,85,not_contacted,,
Renesas Semiconductor KL Sdn Bhd,E&E,Kuala Lumpur,KL,07749-075,,https://www.renesas.com,85,not_contacted,,
Robert Bosch Malaysia Sdn Bhd,E&E,Penang,Bayan Lepas,012-4856-4,,https://www.bosch.com.my,85,not_contacted,,
Seagate Technology Malaysia,E&E,Penang,Bayan Lepas,0354627 18,,https://www.seagate.com,85,not_contacted,,
Siliconware Precision Industries (M),E&E,Penang,Bayan Lepas,,,https://www.spil.com.my,85,not_contacted,,
Texas Instruments Malaysia Sdn Bhd,E&E,Selangor,Petaling Jaya,026-06-30 09,,https://www.ti.com,85,not_contacted,,
Western Digital (M) Sdn Bhd,E&E,Selangor,Petaling Jaya,026-05-14-,PDL-Web-IT-Monitoring@wdc.com,https://www.westerndigital.com,85,not_contacted,,
Venture Electronics Services (M),E&E,Penang,Bayan Lepas,,contact-us@venture.com,https://www.venture.com.sg,85,not_contacted,,
Tradewinds Plantation Bhd,Plantation,Selangor,,,,www.tradewinds.com.my,85,not_contacted,,
Chin Teck Plantations Bhd,Plantation,Perak,,,,www.chinteck.com.my,85,not_contacted,,
Teck Guan Perdana Bhd,Plantation,Sabah,,,,www.teckguan.com,85,not_contacted,,
Sri Neringa Sdn Bhd,Plantation,Sabah,,,,,85,not_contacted,,
Sawit Kinabalu Sdn Bhd,Plantation,Sabah,,,,,85,not_contacted,,
Kretam Holdings Bhd,Plantation,Sabah,,,,,85,not_contacted,,
Global Palm Resources,Plantation,Sabah,,,,,85,not_contacted,,
Able Global Bhd,Plantation,Perak,,,,,85,not_contacted,,
Menggatal Plantation S/B,Plantation,Sabah,,,,,85,not_contacted,,
Rimbunan Sawit Bhd,Plantation,Sarawak,,,,www.rimbunan.com.my,85,not_contacted,,
TDM Bhd,Plantation,Terengganu,,,,www.tdm.com.my,85,not_contacted,,
NPC Resources Bhd,Plantation,Sabah,,,,,85,not_contacted,,
Willowglen MSC Bhd,Plantation,Sabah,,,,,85,not_contacted,,
